Values
121
92
85
97
87
100
86
77
74
65
69
63
49
60
58
67
72
46
50
47
38
46
35
43
34
34
30
37
25
43
44
43
54
50
60
67
83
89
81
87
103
126
133
127
115
170
200
172
173
178
164
177
172
141
185
185
192
172
181
167
168
176
186
188
172
182
197
204
207
209
191
212
156
157
164
132
109
121
158
111
102
82
97
85
112
106
101
82
78
90
78
68
52
51
49
48
38
34
30
28
20
18
16
16
14
18
15
9
11
10
10
8
7
12
14
17
16
14
25
22
27
46
51
75
90
115
136
187
191
199
184
157
127
143
151
115
141
116
152
124
162
116
169
126
166
174
174
184
184
166
189
172
174
176
161
223
208
231
192
176
244
230
263
277
335
384
360
386
356
342
261
261
179
183
160
144
136
135
136
107
112
115
101
98
98
74
82
71
61
58
56
38
